Model,Precision,Recall,F1,IoU_mean,mAP50,TP,FP,FN,FPS,Total_time_sec
SSD,0.8363636363484298,0.40707964601409663,0.5476190471721231,0.7853659451364687,0.39095004696433866,46,9,67,3.0555017411810024,33.05512762069702
YOLO,0.9677419354734651,0.7964601769841021,0.8737864072632198,0.7606174369279901,0.7913609370726568,90,3,23,6.2229060686835975,16.230359077453613
ENSEMBLE,0.9299999999906999,0.8157894736770545,0.8691588779986898,0.7751055096309284,0.8090732394452214,93,7,21,1.9806195337346484,50.994145154953
